A+,+A,
A-,-A,
AB+,+AB,
AB-,-AB,
Absent,غائب,
Academic Year,السنة الدراسية,
Accepted,مقبول,
Account,حساب,
Active,نشط,
Activity,نشاط,
Activity Date,تاريخ النشاط,
Address,عنوان,
Administrator,مدير,
Amended From,معدل من,
Amount,كمية,
Annual,سنوي,
Area,منطقة,
Assessment Criteria,معايير التقييم,
Assessment Plan,خطة التقييم,
Attendance,الحضور,
Author,مؤلف,
Average,معدل,
B+,B+,
B-,B-,
Barcode,الرمز الشريطي,
Book,كتاب,
Both,على حد سواء,
Branch,فرع,
Capacity,سعة,
Category,فئة,
Center,مركز,
Certificate,شهادة,
City,مدينة,
Code,رمز,
Column,عمود,
Columns,الأعمدة,
Company,شركة,
Complaints,شكاوي,
Completed,أكتمل,
Contact Name,اسم جهة الاتصال,
Core,جوهر,
Cost Center,مركز التكلفة,
Count,عد,
Country,الدولة,
Create Invoices,إنشاء الفواتير,
Credit,دائن,
Customer,العميل,
Date,تاريخ,
Date of Birth,تاريخ الميلاد,
Day,يوم,
Days,أيام,
Debit Account,حساب مدين,
Delayed,مؤجل,
Department,قسم,
Description,وصف,
Discount Type,نوع الخصم,
Distribution,توزيع,
Divorced,مطلق,
Document Type,نوع الوثيقة,
Documents,وثائق,
Draft,مشروع,
Due Date,بسبب تاريخ,
Email,البريد الإلكتروني,
Employee,الموظف,
End Date,نهاية التاريخ,
Evening,مساء,
Father,الآب,
Fee Category,فئة الرسوم,
Fee Structure,هيكلية الرسوم,
Fees,رسوم,
Female,أنثى,
File,ملف,
Finish,إنهاء,
First,أول,
First Name,الاسم الأول,
From,من,
From Date,من تاريخ,
From Time,من وقت,
Gender,جنس,
General,عام,
ID,هوية شخصية,
IN,في,
In Progress,في تَقَدم,
Inactive,غير نشط,
Income Account,حساب الدخل,
Incoming,الوارد,
Institute Name,اسم المؤسسة,
Is Active,نشط,
Issue Date,تاريخ القضية,
Item,السلعة,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Language,اللغة,
Last Name,اسم العائلة,
Leave,غادر,
Location,الموقع,
Main,رئيسي,
Male,ذكر,
Marital Status,الحالة الإجتماعية,
Married,متزوج,
Master,سيد,
Material,مواد,
Maximum Assessment Score,النتيجة القصوى للتقييم,
Maximum Score,الدرجة القصوى,
Message,رسالة,
Middle Name,الاسم الأوسط,
Mobile No.,رقم الجوال,
Module,وحدة,
Morning,الصباح,
Mother,أم,
Name,اسم,
Nationality,جنسية,
No,لا,
Normal,عادي,
Notes,ملاحظات,
Number,رقم,
O+,O+,
O-,O-,
OUT,خارج,
Occupation,الاحتلال,
Ongoing,جاري التنفيذ,
Other,آخر,
Outgoing,الصادر,
Paid,مدفوع,
Parent,رقم الاب,
Password,كلمة السر,
Payment Term,مصطلح الدفع,
Pending,معلق,
Percentage,النسبة المئوية,
Period,فترة,
Personal Details,تفاصيل شخصي,
Phone Number,رقم الهاتف,
Planned,مخطط,
Position,موضع,
Present,حاضر,
Project,مشروع,
Published,نشرت,
Qualification,المؤهل,
Quiz,لغز,
Rejected,مرفوض,
Relation,علاقة,
Reload,تحديث,
Remark,كلام,
Room,قاعة,
Row,صف,
Scheduled,من المقرر,
Score,أحرز هدفاً,
Section,الجزء,
Seminar,ندوة,
Sender,مرسل,
Session Defaults,الجلسة الافتراضية,
Single,أعزب,
Start,بداية,
Start Date,تاريخ البدء,
Status,الحالة,
Student,طالب,
Student Name,أسم الطالب,
Students,الطلاب,
System Manager,مدير النظام,
Template,قالب,
Time,زمن,
Title,اللقب,
To,إلى,
To Date,إلى تاريخ,
To Time,إلى وقت,
Total,الاجمالي غير شامل الضريبة,
Total Amount,الاعتماد الأساسي,
Transfer,نقل,
Transfer Date,تاريخ التحويل,
Transfer Type,نوع النقل,
Type,النوع,
Unpaid,غير مدفوع,
User,المستعمل,
User Type,نوع المستخدم,
View,رأي,
View Website,مشاهدة الموقع,
Website,الموقع,
Widowed,ارمل,
Workshop,ورشة عمل,
Year,عام,
Yes,نعم,
